Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB50RS001217,Mike Kelly Toyota of Uniontown,PA
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,Available,5TDACAB50RS001296,Valenti Toyota,RI
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS001329,Toyota of Gladstone,OR
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB50RS30C591,Bill Page Toyota,VA
2024,XLE,Celestial Silver Metallic,AWD,46270,7995.0,54265.0,Factory to port,False,Available,5TDACAB50RS30C736,Rodland Toyota,WA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB50RS30C896,Route 22 Toyota,NJ
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB50RS30D014,Doxon Toyota,WA
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB50RS30D577,Kendall Toyota of Bend,OR
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB50RS31E448,Faulkner Toyota,PA
2024,Limited,Storm Cloud,AWD,51060,11282.0,62342.0,Factory to port,False,,5TDACAB50RS32D280,Toyota of Tacoma,WA
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB50RS32E400,Fordham Toyota,NY
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB50RS33B962,Smithtown Toyota,NY
2024,XLE,Wind Chill Pearl,AWD,46270,4490.0,50760.0,Factory to port,False,,5TDACAB50RS33C755,Berge Toyota,AZ
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB50RS33D033,DCH Brunswick Toyota,NJ
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS000142,Jim Coleman Toyota,MD
2024,XLE,Celestial Silver Metallic,AWD,46270,7282.0,53552.0,Port to dealer,False,Available,5TDACAB51RS000223,Toyota of Kirkland,WA
2024,XLE,Storm Cloud,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB51RS000383,Sullivan Brothers Toyota,MA
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB51RS000710,Dick Hannah Toyota,WA
2024,XLE,Wind Chill Pearl,AWD,46270,2098.0,48368.0,Port to dealer,True,DealerHold,5TDACAB51RS000755,Toyota of Surprise,AZ
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS000805,Toyota of Corvallis,OR
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS000853,New Holland Toyota,PA
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB51RS000867,Sheehy Toyota of Stafford,VA
2024,XLE,WIND CHILL PEARL*,AWD,46270,0.0,46270.0,Factory to port,True,Available,5TDACAB51RS000898,North Park Toyota of San Antonio,TX
2024,XLE,Wind Chill Pearl,AWD,46270,1397.0,47667.0,Port to dealer,False,,5TDACAB51RS000917,DCH Wappingers Falls Toyota,NY
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB51RS000920,Freeman Toyota,CA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB51RS000934,Iron Trail Toyota,MN
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS000948,Marysville Toyota,WA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,True,DealerHold,5TDACAB51RS000979,Hanlees Toyota,CA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS000996,Bayside Toyota,MD
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS001016,Lithia Toyota of Springfield,OR
2024,Limited,WIND CHILL PEARL*,AWD,51060,0.0,51060.0,Factory to port,True,Available,5TDACAB51RS001128,Bubba Oustalet Toyota,LA
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS001176,Royal Moore Toyota,OR
2024,XLE,Coastal Cream,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB51RS001193,Seeger Toyota of St. Robert,MO
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Port to dealer,False,Available,5TDACAB51RS001212,Santa Margarita Toyota,CA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB51RS001257,Baldwin Toyota,MO
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS001274,Westbury Toyota,NY
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB51RS001288,Superior Toyota,WV
2024,Limited,Ruby Flare Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB51RS001307,Buckhannon Toyota,WV
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB51RS001310,White River Toyota,VT
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB51RS30C891,Elgin Toyota,IL
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB51RS30D264,Ourisman Fairfax Toyota,VA
2024,Limited,Storm Cloud,AWD,51060,4990.0,56050.0,Factory to port,False,DealerHold,5TDACAB51RS30D331,Toyota Carlsbad,CA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB51RS30D670,St. Charles Toyota,IL
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB51RS31C918,Gault Toyota,NY
2024,XLE,Coastal Cream,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB51RS31D471,San Francisco Toyota,CA
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB51RS31D759,San Francisco Toyota,CA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB51RS31D941,Landers McLarty Toyota,TN
2024,XLE,Midnight Black Metallic,AWD,46270,2987.0,49257.0,Factory to port,False,,5TDACAB51RS31E393,South Coast Toyota,CA
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB51RS31E586,Toyota of Greensburg,PA
2024,Limited,Ruby Flare Pearl,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB51RS32C963,Pauly Toyota,IL
